pacific_code,pacific_name,counterpart_code,counterpart_name,year,value_people,pct_population
KI,Kiribati,EE,Estonia,2010,1.0,0.0009
KI,Kiribati,SK,Slovakia,2010,1.0,0.0009
KI,Kiribati,NZ,New Zealand,2015,1822.0,1.5597
KI,Kiribati,FJ,Fiji,2015,775.0,0.6634
KI,Kiribati,AU,Australia,2015,645.0,0.5522
KI,Kiribati,MH,Marshall Islands,2015,275.0,0.2354
KI,Kiribati,SB,Solomon Islands,2015,265.0,0.2269
KI,Kiribati,NR,Nauru,2015,209.0,0.1789
KI,Kiribati,TV,Tuvalu,2015,61.0,0.0522
KI,Kiribati,WS,Samoa,2015,12.0,0.0103
KI,Kiribati,SK,Slovakia,2015,7.0,0.006
KI,Kiribati,BG,Bulgaria,2015,4.0,0.0034
KI,Kiribati,DK,Denmark,2015,4.0,0.0034
KI,Kiribati,GN,Guinea,2015,3.0,0.0026
KI,Kiribati,NO,Norway,2015,2.0,0.0017
KI,Kiribati,EE,Estonia,2015,1.0,0.0009
KI,Kiribati,HU,Hungary,2015,1.0,0.0009
KI,Kiribati,NZ,New Zealand,2020,2497.0,1.9802
KI,Kiribati,AU,Australia,2020,903.0,0.7161
KI,Kiribati,FJ,Fiji,2020,793.0,0.6289
KI,Kiribati,MH,Marshall Islands,2020,275.0,0.2181
KI,Kiribati,SB,Solomon Islands,2020,258.0,0.2046
KI,Kiribati,NR,Nauru,2020,241.0,0.1911
KI,Kiribati,TV,Tuvalu,2020,62.0,0.0492
KI,Kiribati,WS,Samoa,2020,10.0,0.0079
KI,Kiribati,SK,Slovakia,2020,6.0,0.0048
KI,Kiribati,BG,Bulgaria,2020,3.0,0.0024
KI,Kiribati,DK,Denmark,2020,2.0,0.0016
KI,Kiribati,NO,Norway,2020,2.0,0.0016
KI,Kiribati,GN,Guinea,2020,1.0,0.0008
KI,Kiribati,NZ,New Zealand,2024,3015.0,2.2413
KI,Kiribati,AU,Australia,2024,1585.0,1.1783
KI,Kiribati,FJ,Fiji,2024,808.0,0.6007
KI,Kiribati,NR,Nauru,2024,279.0,0.2074
KI,Kiribati,MH,Marshall Islands,2024,276.0,0.2052
KI,Kiribati,SB,Solomon Islands,2024,253.0,0.1881
KI,Kiribati,TV,Tuvalu,2024,64.0,0.0476
KI,Kiribati,WS,Samoa,2024,10.0,0.0074
KI,Kiribati,SK,Slovakia,2024,7.0,0.0052
KI,Kiribati,BG,Bulgaria,2024,4.0,0.003
KI,Kiribati,DK,Denmark,2024,2.0,0.0015
KI,Kiribati,NO,Norway,2024,2.0,0.0015
KI,Kiribati,GN,Guinea,2024,1.0,0.0007
MH,Marshall Islands,GU,Guam,2010,232.0,0.4458
MH,Marshall Islands,FM,Micronesia (Fed. States of),2010,94.0,0.1806
MH,Marshall Islands,MP,Northern Mariana Islands,2010,52.0,0.0999
MH,Marshall Islands,BG,Bulgaria,2010,1.0,0.0019
MH,Marshall Islands,GU,Guam,2015,234.0,0.4795
MH,Marshall Islands,FM,Micronesia (Fed. States of),2015,92.0,0.1885
MH,Marshall Islands,MP,Northern Mariana Islands,2015,46.0,0.0943
MH,Marshall Islands,GN,Guinea,2015,6.0,0.0123
MH,Marshall Islands,BG,Bulgaria,2015,1.0,0.002
MH,Marshall Islands,GU,Guam,2020,246.0,0.576
MH,Marshall Islands,FM,Micronesia (Fed. States of),2020,92.0,0.2154
MH,Marshall Islands,MP,Northern Mariana Islands,2020,45.0,0.1054
MH,Marshall Islands,GN,Guinea,2020,4.0,0.0094
MH,Marshall Islands,GU,Guam,2024,257.0,0.6845
MH,Marshall Islands,FM,Micronesia (Fed. States of),2024,94.0,0.2503
MH,Marshall Islands,MP,Northern Mariana Islands,2024,45.0,0.1198
MH,Marshall Islands,GN,Guinea,2024,4.0,0.0107
NR,Nauru,KI,Kiribati,2010,1446.0,14.3981
NR,Nauru,AU,Australia,2010,630.0,6.273
NR,Nauru,WS,Samoa,2010,8.0,0.0797
NR,Nauru,TV,Tuvalu,2010,6.0,0.0597
NR,Nauru,BG,Bulgaria,2010,2.0,0.0199
NR,Nauru,KI,Kiribati,2015,1471.0,13.4289
NR,Nauru,AU,Australia,2015,688.0,6.2808
NR,Nauru,GN,Guinea,2015,18.0,0.1643
NR,Nauru,WS,Samoa,2015,6.0,0.0548
NR,Nauru,TV,Tuvalu,2015,6.0,0.0548
NR,Nauru,HU,Hungary,2015,3.0,0.0274
NR,Nauru,BG,Bulgaria,2015,2.0,0.0183
NR,Nauru,DK,Denmark,2015,2.0,0.0183
NR,Nauru,KI,Kiribati,2020,1586.0,13.6219
NR,Nauru,AU,Australia,2020,730.0,6.2699
NR,Nauru,GN,Guinea,2020,16.0,0.1374
NR,Nauru,TV,Tuvalu,2020,5.0,0.0429
NR,Nauru,WS,Samoa,2020,4.0,0.0344
NR,Nauru,DK,Denmark,2020,3.0,0.0258
NR,Nauru,BG,Bulgaria,2020,1.0,0.0086
NR,Nauru,KI,Kiribati,2024,1675.0,14.0203
NR,Nauru,AU,Australia,2024,782.0,6.5456
NR,Nauru,GN,Guinea,2024,15.0,0.1256
NR,Nauru,TV,Tuvalu,2024,5.0,0.0419
NR,Nauru,WS,Samoa,2024,4.0,0.0335
NR,Nauru,DK,Denmark,2024,2.0,0.0167
NR,Nauru,BG,Bulgaria,2024,1.0,0.0084
NU,Niue,NZ,New Zealand,2010,4439.0,303.0034
NU,Niue,AU,Australia,2010,768.0,52.4232
NU,Niue,CK,Cook Islands,2010,16.0,1.0922
NU,Niue,WS,Samoa,2010,7.0,0.4778
NU,Niue,BO,Bolivia (Plurinational State of),2010,1.0,0.0683
NU,Niue,NZ,New Zealand,2015,4090.0,279.1809
NU,Niue,AU,Australia,2015,945.0,64.5051
NU,Niue,CK,Cook Islands,2015,16.0,1.0922
NU,Niue,WS,Samoa,2015,6.0,0.4096
NU,Niue,BO,Bolivia (Plurinational State of),2015,2.0,0.1365
NU,Niue,NZ,New Zealand,2020,3966.0,253.9052
NU,Niue,AU,Australia,2020,980.0,62.7401
NU,Niue,CK,Cook Islands,2020,17.0,1.0883
NU,Niue,WS,Samoa,2020,4.0,0.2561
NU,Niue,BO,Bolivia (Plurinational State of),2020,1.0,0.064
NU,Niue,NZ,New Zealand,2024,3957.0,241.2805
NU,Niue,AU,Australia,2024,975.0,59.4512
NU,Niue,CK,Cook Islands,2024,18.0,1.0976
NU,Niue,WS,Samoa,2024,4.0,0.2439
NU,Niue,BO,Bolivia (Plurinational State of),2024,1.0,0.061
PG,Papua New Guinea,AU,Australia,2010,30064.0,0.3938
PG,Papua New Guinea,SB,Solomon Islands,2010,603.0,0.0079
PG,Papua New Guinea,VU,Vanuatu,2010,63.0,0.0008
PG,Papua New Guinea,WS,Samoa,2010,48.0,0.0006
PG,Papua New Guinea,CK,Cook Islands,2010,17.0,0.0002
PG,Papua New Guinea,NO,Norway,2010,9.0,0.0001
PG,Papua New Guinea,DK,Denmark,2010,7.0,0.0001
PG,Papua New Guinea,FI,Finland,2010,7.0,0.0001
PG,Papua New Guinea,GR,Greece,2010,4.0,0.0001
PG,Papua New Guinea,BG,Bulgaria,2010,3.0,0.0
PG,Papua New Guinea,SI,Slovenia,2010,2.0,0.0
PG,Papua New Guinea,BO,Bolivia (Plurinational State of),2010,1.0,0.0
PG,Papua New Guinea,EE,Estonia,2010,1.0,0.0
PG,Papua New Guinea,HU,Hungary,2010,1.0,0.0
PG,Papua New Guinea,AU,Australia,2015,33592.0,0.3842
